pathway	size	pval	padj	ES	NES	log2err	leadingEdge
ACROSOME ASSEMBLY%GOBP%GO:0001675	10	0.3968565815324165	0.7018950784566503	0.4649699598144772	1.0714372880051461	0.09082414190071554	
ACROSOME REACTION%GOBP%GO:0007340	7	0.523517382413088	0.7904799344436569	-0.464305958844445	-0.972733671563181	0.07788401119770678	
ACTIN CROSSLINK FORMATION%GOBP%GO:0051764	8	0.6314779270633397	0.8495056250670368	0.38480435168863963	0.8537031768781823	0.06523530560177027	
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	336	0.9182879377431906	0.9857456555062885	0.1879591647821027	0.83714399104717	0.04831175810550189	
ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0051017	40	0.4012605042016807	0.706006240952421	-0.3124742033827822	-1.0303595924699194	0.09405034657278127	
ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	42	0.4346938775510204	0.7277666924617151	-0.30096395465287895	-1.0104161914548984	0.08783126344801238	
ACTIN FILAMENT CAPPING%GOBP%GO:0051693	13	0.9738955823293173	1	-0.22696084057441657	-0.5620162455739197	0.04706995900826619	
ACTIN FILAMENT DEPOLYMERIZATION%GOBP%GO:0030042	10	0.7210216110019646	0.8856170642097048	0.3412457979400012	0.7863378366074888	0.059989249649032995	
ACTIN FILAMENT NETWORK FORMATION%GOBP%GO:0051639	8	0.8752598752598753	0.9644431384072878	-0.30262862314081895	-0.6543162424127654	0.05356693847709506	
ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	179	0.7113821138211383	0.8810293019254424	0.2175938384065052	0.9016596957541989	0.06224904294985801	
ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030041	23	0.7306930693069307	0.8904571515460504	0.2897027869612664	0.8126146995614035	0.05973179763644106	
ACTIN FILAMENT SEVERING%GOBP%GO:0051014	9	0.5357142857142857	0.8004010405376111	0.42184845388155495	0.9429482459299601	0.07511816352763015	
ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	55	0.529296875	0.7946717034537969	0.28103444312401854	0.9588448581475029	0.07492788183937392	
ACTIN FILAMENT-BASED TRANSPORT%GOBP%GO:0099515	7	0.7341513292433538	0.8911914668635263	-0.37280663793805635	-0.781040093922434	0.06103637283091772	
ACTIN NUCLEATION%GOBP%GO:0045010	16	0.9624505928853755	1	0.2280672616095787	0.5884917187704934	0.04688198568783333	
ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154	41	0.7509578544061303	0.9000485836392302	0.25184673291294013	0.809913600224081	0.056886416047570075	
ACTIN POLYMERIZATION-DEPENDENT CELL MOTILITY%GOBP%GO:0070358	6	0.20553359683794467	0.5225244536940686	0.6275064361985452	1.2570093099044877	0.13427345288320233	
ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252	42	0.42578125	0.7206143089518808	0.3115404442696914	0.9998459352059964	0.08653997374441245	
ACTIN-MYOSIN FILAMENT SLIDING%GOBP%GO:0033275	7	0.22807017543859648	0.5475686289608439	0.5855604905403302	1.2322252715273647	0.12563992130984047	
ACTION POTENTIAL%GOBP%GO:0001508	51	0.094	0.35284940907357987	0.399333084148884	1.3364983411329585	0.20658792269689108	
ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS%REACTOME DATABASE ID RELEASE 93%2122948	28	0.8139059304703476	0.9328661056615047	-0.24976979704710356	-0.7649320585946483	0.05617665863071758	
ACTIVATED NTRK2 SIGNALS THROUGH CDK5%REACTOME DATABASE ID RELEASE 93%9032845	5	0.0359262911967318	0.19695448948943278	-0.7955834205679404	-1.5197706673401237	0.3217759180753611	
ACTIVATED NTRK2 SIGNALS THROUGH FRS2 AND FRS3%REACTOME DATABASE ID RELEASE 93%9028731	7	0.8109161793372319	0.9320897387058587	0.33625528642829683	0.7075994168241825	0.054120056962023176	
ACTIVATED NTRK2 SIGNALS THROUGH FYN%REACTOME DATABASE ID RELEASE 93%9032500	5	0.009230710146052201	0.07721798818864058	0.8645217806052878	1.6616379582489293	0.3807304007227924	
ACTIVATED NTRK3 SIGNALS THROUGH PI3K%REACTOME DATABASE ID RELEASE 93%9603381	5	0.49404761904761907	0.7745848498635124	0.5272955895210187	1.013478649608949	0.07934349601349727	
ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.3	17	0.3807615230460922	0.6897963631834599	-0.3936731474750845	-1.048573988318659	0.0943563635421779	
ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 93%450302	18	0.927710843373494	0.9888364161838734	0.23290223685054984	0.6173523100006055	0.04929176623126693	
ACTIVATION OF AMPK DOWNSTREAM OF NMDARS%REACTOME%R-HSA-9619483.3	7	0.23391812865497075	0.5545379566308121	0.5795708592798878	1.219620980210789	0.12384217120104962	
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME DATABASE ID RELEASE 93%5617472	71	0.11691022964509394	0.3941064159371735	-0.3426191587836515	-1.2603787397995423	0.1882041463084906	
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 93%176814	63	1.2548386682762335e-5	3.357375415176031e-4	-0.565700873419191	-2.0316870325208636	0.5933254763964051	
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%R-HSA-176187.4	36	9.333923341980486e-18	2.137251377328834e-15	-0.8774496843393721	-2.8401081409248303	1.0864405425824981	
ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA%REACTOME DATABASE ID RELEASE 93%111447	14	0.24543610547667344	0.5655426853553304	-0.4718907639259363	-1.1922892218965395	0.12325722638133735	
ACTIVATION OF BH3-ONLY PROTEINS%REACTOME%R-HSA-114452.5	25	0.07317073170731707	0.3059189063228212	-0.4756312874922462	-1.4085988534655174	0.2377938344236881	
ACTIVATION OF CA-PERMEABLE KAINATE RECEPTOR%REACTOME DATABASE ID RELEASE 93%451308	9	0.7718253968253969	0.9092428609290604	0.33602751665024266	0.75111465857953	0.057246113520288446	
ACTIVATION OF CAMP-DEPENDENT PROTEIN KINASE, PKA%SMPDB%SMP0063764	8	0.41995841995842	0.7182991788118664	-0.4857899499649384	-1.0503311000923972	0.09082414190071554	
ACTIVATION OF CASPASES THROUGH APOPTOSOME-MEDIATED CLEAVAGE%REACTOME DATABASE ID RELEASE 93%111459	6	0.9347826086956522	0.9924379518241743	0.2659541749961556	0.5327544941265895	0.048214971002556443	
ACTIVATION OF G PROTEIN GATED POTASSIUM CHANNELS%REACTOME%R-HSA-1296041.4	22	0.05263157894736842	0.25847842681109373	-0.5136935482461531	-1.4780420902798732	0.28201335001172506	
ACTIVATION OF GABAB RECEPTORS%REACTOME DATABASE ID RELEASE 93%991365	31	0.12605042016806722	0.41163928257870314	-0.41334340344209386	-1.283088800023993	0.18138312849840757	
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	40	0.14285714285714285	0.4377751100440176	-0.3792118539909133	-1.2504218495732935	0.16957064440562838	
ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	20	0.950592885375494	0.997410450599739	0.22778544253914562	0.6167298151972218	0.04744831936562972	
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%5619507	71	0.11691022964509394	0.3941064159371735	-0.3426191587836515	-1.2603787397995423	0.1882041463084906	
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	167	0.9837728194726166	1	0.1776483957614678	0.7305694409250565	0.04706995900826619	
