pathway	pval	padj	log2err	ES	NES	size	leadingEdge
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	2.949209188324169e-15	5.094370818989433e-13	1.0073179568744748	-0.6376439846261348	-2.556817753694356	128	
REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033045	3.9965213014341525e-15	6.784439436882873e-13	0.9969862175331805	-0.6805301040452659	-2.596352042251007	94	
DNA REPLICATION%WIKIPATHWAYS_20250810%WP466%HOMO SAPIENS	4.1404529528651064e-15	6.909644029476243e-13	0.9969862175331805	-0.8772355454628179	-2.652925841304604	31	
REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0007088	4.47681875566611e-15	7.346459578048085e-13	0.9969862175331805	-0.7064249299204548	-2.669764935685063	86	
RHO GTPASE EFFECTORS%REACTOME%R-HSA-195258.6	9.57871331746258e-15	1.5460985462907632e-12	0.9865462835875821	-0.5363058235891671	-2.3052087017492173	220	
REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	1.0258681318850481e-14	1.6291447784742232e-12	0.9865462835875821	-0.7796276599489982	-2.6964500145337422	54	
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	1.1288514927851226e-14	1.7642336187241772e-12	0.9865462835875821	-0.8333992434021807	-2.722647627645612	40	
MEIOTIC CELL CYCLE PROCESS%GOBP%GO:1903046	1.1864504934961254e-14	1.8252799310879455e-12	0.9865462835875821	-0.6927363186141703	-2.617589229080505	87	
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	1.7423108256463068e-14	2.6391988291251594e-12	0.9759946830643197	-0.8655142763653789	-2.6525550611751307	32	
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901988	8.237476936336169e-14	1.210540267390536e-11	0.9545416307257243	-0.5684960511283067	-2.374052069349465	169	
NEGATIVE REGULATION OF CELL CYCLE%GOBP%GO:0045786	9.50466293240351e-14	1.3762192828300728e-11	0.9545416307257243	-0.5159003299012916	-2.2543939916700046	257	
CELL CYCLE%WIKIPATHWAYS_20250810%WP179%HOMO SAPIENS	1.1877410296550583e-13	1.6948548084034353e-11	0.9436322252328375	-0.680579451939249	-2.571653015816414	87	
REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033047	1.3362121853294538e-13	1.8794778823934002e-11	0.9436322252328375	-0.7899154346817113	-2.6962981926516987	49	
MITOTIC CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0007093	1.533905411668131e-13	2.12715953285696e-11	0.9436322252328375	-0.6506853583246935	-2.495949078266902	99	
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	1.7326890716101825e-13	2.3694523054269247e-11	0.9436322252328375	-0.8209792047277926	-2.6709014240691413	39	
REPLICATION FORK PROCESSING%GOBP%GO:0031297	1.794295788210192e-13	2.4200871685914455e-11	0.9436322252328375	-0.788567325401333	-2.6606235871781947	47	
REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902099	3.0958057743251867e-13	4.119095088379161e-11	0.932595211336209	-0.6847522768404474	-2.5756933158840716	83	
POSITIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901989	5.658582754881515e-13	7.428587440608453e-11	0.9214260034948982	-0.6874919723537436	-2.56058706095846	79	
REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0030071	6.08216802974247e-13	7.879608739584785e-11	0.9214260034948982	-0.6879656283046408	-2.583302077667864	82	
PROCESSING OF DNA DOUBLE-STRAND BREAK ENDS%REACTOME%R-HSA-5693607.4	8.527614420634267e-13	1.090427163448896e-10	0.9214260034948982	-0.7080987218991855	-2.5628490384501235	68	
NEGATIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045930	9.049419596263787e-13	1.1423151967283749e-10	0.9214260034948982	-0.5670996882058107	-2.3445136408315754	158	
EXTENSION OF TELOMERES%REACTOME DATABASE ID RELEASE 93%180786	1.0848842498023155e-12	1.3521228257662781e-10	0.9101197347744591	-0.7715332149123423	-2.6197241857159352	48	
DNA IR DAMAGE AND CELLULAR RESPONSE VIA ATR%WIKIPATHWAYS_20250810%WP4016%HOMO SAPIENS	1.1593685605160211e-12	1.426892855855093e-10	0.9101197347744591	-0.7132745319033108	-2.5753525008519498	67	
G1 TO S CELL CYCLE CONTROL%WIKIPATHWAYS_20250810%WP45%HOMO SAPIENS	1.3505664934671426e-12	1.641688604281171e-10	0.9101197347744591	-0.7760735067126284	-2.649050140863862	49	
POSITIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905820	1.865134962036175e-12	2.2395266873424607e-10	0.8986712320616942	-0.8483179632633315	-2.5609754234043556	30	
