name	description	Ctl-1	Ctl-2	Ctl-3	Mub-1	Mub-2	Mub-3
RNASEH1-DT	RNASEH1-DT	9.686937667666003	9.03035634154828	8.896091580464851	9.727780715114815	10.266859851164869	9.323061704074432
RNASEH2B	RNASEH2B	50.98764974335529	51.699860002797735	46.194582865389435	38.34138299211197	41.088651925013124	38.618620543269145
RNASEH2B-AS1	RNASEH2B-AS1	1.4554265953882417	1.2839369205992814	1.5839382570095955	1.5615092688036796	1.4212388636943103	1.191814073510546
RNASEH2C	RNASEH2C	25.81592747885373	21.52734236871462	22.327020088532514	18.991328944909615	17.627604413880178	17.64653741101099
RNASEK	RNASEK	2.767696476476001	1.583522202072447	2.4735474150560806	2.9964096779746283	1.7818517097062996	1.9030579560894203
RNASEL	RNASEL	13.3135744299449	14.294497716005335	13.452626292410262	13.547147980702192	15.654840020991061	16.300940876402308
RNASET2	RNASET2	15.365487334918488	13.95211453717886	15.535613589299594	16.37474584583318	15.230589613918132	14.147986421028417
RND1	RND1	3.698215119429139	3.4452307369414052	4.7301169866861885	3.3973377334782757	2.9273278088032066	3.8253387198161075
RND2	RND2	13.027261001343934	11.876416515543355	12.237550369224818	10.044302864196641	10.245647330811222	11.322233698350187
RND3	RND3	4.700312119532518	4.343986581360903	3.8405078286397036	6.056123785765622	5.387980169826192	5.382386138434724
RNF10	RNF10	128.26841601323258	121.11804950986556	134.35268064936184	146.12772549277676	143.67240035524722	146.78535911816982
RNF103	RNF103	16.606178858856005	15.878019918077781	16.598805022086857	20.65834559674057	20.957970109402666	21.08741997808176
RNF11	RNF11	117.62710025023003	118.87115989881681	117.6019911368768	122.53627464787793	132.96007757665578	131.38789020071906
RNF111	RNF111	38.7238912182806	40.18722561475751	37.21170014755419	41.3377926700866	40.13408850909904	44.942924255929945
RNF112	RNF112	20.28053452590173	18.83107483545613	20.417615066383963	22.21985486554425	21.148882792585486	20.933637516983623
RNF113A	RNF113A	11.166223715437658	12.668177616579577	12.389434859623	13.884771606389474	11.879011398041998	12.437156541311666
RNF114	RNF114	114.1197607498682	107.55111604886648	109.55211314577325	110.55063593597941	115.07792291853185	102.72668401355416
RNF115	RNF115	52.252200719676225	53.026594820750326	49.5143438698068	50.85455861914686	53.11615096553064	50.978885854031745
RNF121	RNF121	26.841883931340526	28.99557545686711	29.682568980672965	25.174061590307968	26.21867515710698	25.450997311741336
RNF122	RNF122	26.340835431288834	25.956924744782143	29.552382274617383	27.263107774248027	27.53385141903306	26.335246463055615
RNF123	RNF123	53.65990841029763	53.069392718103636	54.1576697191226	60.22361423196894	57.146529832723466	58.80256856239936
RNF126	RNF126	157.90185587343254	149.32186386569643	151.25525465224507	154.18848955606063	150.5664694701823	141.47986421028418
RNF13	RNF13	56.30830762485657	57.79856037564432	54.89539438677091	63.5787490122363	67.3497521228274	70.39392156767128
RNF130	RNF130	84.15228855630048	82.40735135379722	86.01001713405529	77.65343390807487	83.85309295796431	80.65890084597179
RNF135	RNF135	4.3185608813978975	4.643571862834068	4.534836927602814	4.768933712832859	5.642530414069949	4.844147524591252
RNF138	RNF138	32.94990374149446	30.728890299676138	31.223111668997365	24.920843871042507	25.709574668619467	28.1998588038705
RNF139	RNF139	51.417119886256735	50.95089679911482	52.74731373685378	61.025470342976234	66.05578838125497	60.532621249753376
RNF139-DT	RNF139-DT	3.2210260717608628	3.530826531648024	3.645227769556329	3.798265788981923	2.248527157486521	2.82575272267823
RNF14	RNF14	64.92156993526895	62.7203185712749	63.509414770781994	67.73573990351096	68.30431553874149	68.62542326504273
RNF141	RNF141	54.68586486278443	54.674313868852735	52.09638020657587	56.5730587792252	60.56174560966054	60.84018617194965
RNF144A	RNF144A	29.82431547926725	30.27951237746639	35.606064106202	24.64652467517159	24.161060682803278	24.778199044436995
RNF145	RNF145	75.49130734112126	81.1876112792279	77.82995243689615	71.97713670120744	74.30745879882342	73.10433744452591
RNF146	RNF146	42.06421455195853	39.267070821661356	40.705043426712344	44.58742006732669	42.38261566658556	46.13473832944049
RNF150	RNF150	10.259564524867933	11.598230182746843	11.087567799067168	19.750982102706	23.24892230759648	23.60560777856372
RNF157	RNF157	82.8161592228293	88.4632538292905	93.95140620344586	81.76822184613863	83.0258046641721	79.81309730993205
RNF157-AS1	RNF157-AS1	3.1494477146106217	3.744816018414571	3.8622056129823013	3.1863229674237243	2.800052686681328	2.537410608119227
RNF166	RNF166	29.37098588398239	23.9454235691766	24.23642511068107	23.44374050866065	24.50046100846162	24.50907973751526
RNF167	RNF167	95.86727967655665	90.23936656945284	99.15887444566918	84.61692118787506	84.12885572256172	81.19713945981526
RNF168	RNF168	40.966679742321496	40.294220358140784	40.20599438683261	31.166880946257226	31.07634231809201	29.237890416282912
RNF169	RNF169	23.262966073828455	31.9272314255688	26.059038995459233	27.474122540302577	29.35812816944665	31.544627332754935
RNF170	RNF170	22.11771235942459	23.06806667343376	21.74117991128239	26.229135420580725	27.47021385797212	26.23913242486928
RNF180	RNF180	1.1452537144038624	1.519325356042483	1.6924271787225813	0.9284649706400256	1.6121515468771281	1.0572544200496778
RNF181	RNF181	34.214454717815386	38.389713925918514	36.84283781373004	36.75877224670283	38.50072444186826	35.19696078383564
RNF182	RNF182	7.038538453107071	7.404036242122523	7.6593178729368105	8.377286212365686	8.166820336153874	9.70751785681977
